Tweet,Target 1,Stance 1,seen?
I am confused. I was under the impression she helped people who were suffering because they were ill and unable to help themselves because they were poor. I thought she fed them and provided help to cure their illnesses. Now it seems to me from these articles that she did not provide the help I thought she had. If this is true than she is no Saint.,people claim,AGAINST,1
"Tips help the resturant owner more than the employee. They don't need to pay SS/Fica taxes on tips, esp if the waitstaff don't report. I still contend that giving someone a tip when I'm done eating does not guarantee me good service. Many simply expect the tip. Some get bent if what you give isn't what they expected even if the tip reflected the service they provided. Business should pay a fair wage, disallow tips and charge accordingly. Then, if they get complaints about shoddy service, deal with the employee accordingly.",restaurant service,AGAINST,1
"The Government has no business controlling its workers' free speech on religoius matters during off-hoursand to attempt to do so amounts to goverment endorsement of which religious practices are acceptable. This is easily demonstrable -- as follows: A person is an adherent to a new religion. This religion believes that the holy books of three large monotheistic religions, Judaism, Christianity and Islam, have been corrupted, have errors and therefore must be cleansed. The required cleansing is done by fire. Each Sabbath, adherents must burn one page of each of the holy books for these faiths. It is a bona-fide belief helf by adherents to this faith. If the government prevents them from conducting their cleansing ceremony because others are offended, then it is clearly taking sides on what does and does not constitute acceptable religous beliefs and practices.",control worker government,AGAINST,1
"It would appear that the Republicans are saying since the public school system has failed its students, the solution is to let these same students teach their own children, rather than send them to public school. With what training will they be able to accomplish this task? As a college professor, I am routinely appalled at the writing ability and general innumeracy of my otherwise bright students. Public education needs stronger support; a tax break for home schooling solves nothing. How can we train twenty parents to do a better job than one professional?",public school,AGAINST,1
"I love to hike and climb. My hiking boots and climbing gear has to be good for 10 out of 10 situations. My car needs to be good for 10 our of 10 senarios. I would much prefer a car powered with natural gas. Drove a natual gas car all around Argentina. It had power, got me to where I needed to go, the natural gas was much cheaper than gas. Electric cars in the USA will be 65% powered by coal. What sense does that make? The wind and solar argument is only rational if we are willing to be irrational and spend hundreds of billions in government grants (yes outright grants) to make the industry viable. So I guess if you live in a place like NY City and drive very little such a car makes might make sense. Then I guess you just have to agree with coal powered elecrtric plants! I can see a whole bunch of environmental yahoos screwing their own philosophy just to be cool buying an electric car!",electric car,AGAINST,1
"It's hard to take an argument seriously when it asserts outright falsehoods. The federal minimum wage for *all* employees is $7.25 per hour. Under no circumstance can any wait staff make less than this. Because tips are wages, tips are included in the minimum wage calculation. The $2.13 is the so-called tipped subminimum wage: extra cash employers have to pay even if your tips place your wages substantially higher than the minimum wage. I'm sympathetic and agree that service staff are often underpaid, and I agree that the minimum wage is too low. However, it's not that clear to me why a waiter who works at a swanky restaurant making $30 / hour in tips should be federally guaranteed an extra $2.13 per hour on top of their minimum wage. Better to set a fair minimum wage and eliminate the subminimum wage. (I think studies prove we'd be far better off putting an end to tipping altogether, but that's another story.)",minimum wage,AGAINST,1
"One of the first attempts at the open office was a design for SC Johnson by Frank Lloyd Wright, It was elegant and temporary. People need a minimum of privacy, because everyone is a unique person. My way to work and yours (any of you) is inherently different, so why should we all be placed in an environment that assumes otherwise. Even cattle dislike a cattle pen.",workplace privacy,AGAINST,1
The author failed to explain why school loyalty is valuable. Nor did he address why being a cultural touchstone or a valuable brand is something to which an institution of higher education should aspire. He needs to make those arguments because big-time competitive sports cost money that could otherwise be spent on students' educations or research.,sport program undergraduate school,AGAINST,1
Any intervention is a slippery slope to full involvement which is why we should stay as far away from Syria as possible no matter what they do. Lookt at Libya -- we started out with R2P just to save those Jihadist in Benghazi from Qaddafi. Well it quickly morpher into regime change in violation of the UN SC resolution. So we acted outside the law. We didn't care we are the US - we are not bound by any LAW not even one passed in Congress. And regime change in Libya led to the muder of a US Ambassador -- does anyone think that what is about to happen will end any differently. The President will lie to us as we were lied to about NSA and lied to about US intentions in Libya. In another month we will be bleeding and dying in Syria to remove Assad and install Al Nusra in power -- the so called FSA will either defect to Al Nusra or be buthchered by them. This is a disaster in the making for the US.,intervention,AGAINST,1
"I hate pot. I think putting it in candy is stupid. However, even though I gave it up after 2 years of thinking thee must be something wrong with me for not enjoying it, I came to the conclusion that it was so far from addictive that it probably drove some people to abandon it in favor of mindless drug like cocaine, heroin or beer and booze. If the AMA and foolish and misinformed people like MS Evins believe the nonsense they spread; let them sleep alone. I suspect that almost all hardcore users of pot are already using it. If Ms Evins were truly honest ,she would be pushing for re-enactment of alcohol prohibition, which , like all drug prohibitions, didn't work either, but was at least based upon a great deal of experimental and observed fact. All our history with marijuana is based upon the predilections of one side or the other in the argument over it's status.",drug,AGAINST,1
